ein,plan_number,sponsor_dfe_name,plan_name,active,retired,terminated,total,liability_total,liability_active,liability_retired,merge_status,plan_count
910425694,"001,003,005,048,060,061,100,102,103,104",THE BOEING CO. AND CONSOLIDATED SUBSIDIARIES,THE BOEING COMPANY EMPLOYEE RETIREMENT PLAN,64458.0,189834.0,55133.0,309425.0,50345432259.0,10795798873.0,35381377137.0,FULL_MATCH,10
060570975,"038,041",RTX CORPORATION,RTX CONSOLIDATED PENSION PLAN,37213.0,177425.0,75355.0,289993.0,41300442091.0,8007971555.0,28140692193.0,FULL_MATCH,2
380549190,"001,002,007",FORD MOTOR COMPANY,FORD MOTOR COMPANY UAW RETIREMENT PLAN,35109.0,142667.0,27079.0,204855.0,30830287978.0,7079440161.0,21206922479.0,FULL_MATCH,3
800640649,"007,029,030,040,041,045",NORTHROP GRUMMAN CORPORATION,NORTHROP GRUMMAN PENSION PLAN,22336.0,115693.0,59836.0,197865.0,28407741040.0,7102280269.0,17564987356.0,FULL_MATCH,6
431301883,"007,017",AT&T INC.,AT&T PENSION BENEFIT PLAN,105172.0,98042.0,93745.0,296959.0,32053346000.0,12359098000.0,13760173000.0,FULL_MATCH,2
951732075,"001,022","UNITED PARCEL SERVICE OF AMERICA, INC.",UPS RETIREMENT PLAN,215860.0,93401.0,98020.0,407281.0,36454199966.0,11694209447.0,19272413452.0,FULL_MATCH,2
270187394,"004,005,007",FCA US LLC,FCA US LLC UAW PENSION AGREEMENT,16618.0,87993.0,19187.0,123798.0,17604390130.0,2643132203.0,13484144689.0,FULL_MATCH,3
140689340,333,"GENERAL ELECTRIC COMPANY, OPERATING AS GE AEROSPACE",GE AEROSPACE PENSION PLAN,9617.0,78410.0,35669.0,123696.0,22225442572.0,2631562847.0,15861777506.0,FULL_MATCH,1
130871985,001,INTERNATIONAL BUSINESS MACHINES CORPORATION,IBM PERSONAL PENSION PLAN,48014.0,76728.0,50461.0,175203.0,18659765821.0,1619962732.0,14140367782.0,FULL_MATCH,1
223408857,"001,002",NOKIA OF AMERICA CORPORATION,NOKIA RETIREMENT INCOME PLAN,7280.0,75502.0,19948.0,102730.0,11663567322.0,1045431697.0,9684668227.0,FULL_MATCH,2
232259884,016,VERIZON COMMUNICATIONS INC.,VERIZON PENSION PLAN FOR ASSOCIATES,22644.0,75158.0,14561.0,112363.0,11433611071.0,4562540086.0,5115109506.0,FULL_MATCH,1
521893632,"001,012,052,067,068",LOCKHEED MARTIN CORPORATION,LOCKHEED MARTIN CORPORATION SALARIED EMPLOYEE RETIREMENT PROGRAM,25677.0,70006.0,37504.0,133187.0,27621662052.0,7237183336.0,17403423397.0,FULL_MATCH,5
882515116,001,GE HEALTHCARE TECHNOLOGIES INC.,GE HEALTHCARE PENSION PLAN,5554.0,62302.0,28865.0,96721.0,16120660961.0,1744426381.0,11237591752.0,FULL_MATCH,1
222640650,"201,203,223",HONEYWELL INTERNATIONAL INC.,HONEYWELL RETIREMENT EARNINGS PLAN,11229.0,62106.0,29822.0,103157.0,13503666267.0,1909382430.0,9542595715.0,FULL_MATCH,3
131502798,"001,002,006,008","AMERICAN AIRLINES, INC. - RETIREMENT","THE RETIREMENT BENEFIT PLAN OF AMERICAN AIRLINES, INC. FOR AGENT, MANAGEMENT, SPECIALIST, SUPPORT PERSONNEL AND OFFICERS",31809.0,56301.0,14209.0,102319.0,13939088253.0,4194564830.0,8649814111.0,FULL_MATCH,4
510014090,001,"EIDP, INC.",PENSION AND RETIREMENT PLAN,2351.0,52481.0,13133.0,67965.0,12616926519.0,255975195.0,11275195497.0,FULL_MATCH,1
410449260,"001,022",WELLS FARGO & COMPANY,WELLS FARGO & COMPANY CASH BALANCE PLAN,46875.0,52111.0,77504.0,176490.0,7658554695.0,1764490921.0,2908551508.0,FULL_MATCH,2
131673581,"001,002,070,071,078",GENERAL DYNAMICS CORPORATION,GENERAL DYNAMICS RETIREMENT PLAN (GOVERNMENT),15133.0,51593.0,24404.0,91130.0,11619329681.0,2308828779.0,7759366207.0,FULL_MATCH,5
221211670,003,THE PRUDENTIAL INSURANCE COMPANY OF AMERICA,THE PRUDENTIAL MERGED RETIREMENT PLAN,16370.0,50374.0,33609.0,100353.0,8807490278.0,2131580641.0,4648144337.0,FULL_MATCH,1
370533100,001,STATE FARM MUTUAL AUTOMOBILE INSURANCE COMPANY,STATE FARM INSURANCE COMPANIES RETIREMENT PLAN FOR UNITED STATES EMPLOYEES,41652.0,48483.0,26209.0,116344.0,22633578150.0,7829413673.0,12152398906.0,FULL_MATCH,1
560906609,001,BANK OF AMERICA CORPORATION,THE BANK OF AMERICA PENSION PLAN,53831.0,47205.0,80497.0,181533.0,11676086027.0,2759109926.0,4594075889.0,FULL_MATCH,1
134994650,001,"JPMORGAN CHASE BANK, NATIONAL ASSOCIATION",JPMORGAN CHASE RETIREMENT PLAN,83812.0,47169.0,91734.0,222715.0,10319837676.0,3642999864.0,2521244286.0,FULL_MATCH,1
370602744,"001,002,039",CATERPILLAR INC.,CATERPILLAR INC. RETIREMENT INCOME PLAN,12924.0,46361.0,7517.0,66802.0,11646178661.0,1814097852.0,9203725979.0,FULL_MATCH,3
050315468,"006,020,076,228",TEXTRON INC.,TEXTRON MASTER RETIREMENT PLAN,11038.0,44645.0,16164.0,71847.0,5942930123.0,1329449616.0,3774212981.0,NO_5500,4
521568099,020,CITIGROUP INC.,THE CITIGROUP PENSION PLAN,15906.0,43977.0,64958.0,124841.0,8753568256.0,641594015.0,5172249883.0,FULL_MATCH,1
340276860,"006,022,023,025,027,032,033,034,037,038,235","L3HARRIS TECHNOLOGIES, INC.",L3HARRIS TECHNOLOGIES CONSOLIDATED PENSION PLAN,6136.0,42480.0,16454.0,65070.0,7869482545.0,893096853.0,5883958416.0,FULL_MATCH,11
550790010,001,"METLIFE GROUP, INC.",METLIFE RETIREMENT PLAN,13374.0,42068.0,26708.0,82150.0,7684084385.0,1206987212.0,4884834556.0,FULL_MATCH,1
410417775,002,3M COMPANY,3M EMPLOYEE RETIREMENT INCOME PLAN,9132.0,40641.0,7738.0,57511.0,12390988759.0,2584858307.0,9120413895.0,FULL_MATCH,1
135409005,001,EXXON MOBIL CORPORATION,EXXONMOBIL PENSION PLAN,21950.0,39198.0,8366.0,69514.0,9976852775.0,4079524023.0,4331562197.0,FULL_MATCH,1
611399608,"001,003","ROPCOR, INC.",GE ENERGY PENSION PLAN,5520.0,37599.0,10699.0,53818.0,10247435596.0,1655115111.0,7227036166.0,FULL_MATCH,2
130872805,001,INTERNATIONAL PAPER COMPANY,RETIREMENT PLAN OF INTERNATIONAL PAPER COMPANY,21103.0,36213.0,27130.0,84446.0,8496104269.0,1518987758.0,5605317295.0,FULL_MATCH,1
954545390,"010,014,022",TWDC ENTERPRISES 18 CORP.,DISNEY ASSOCIATED COMPANIES' RETIREMENT PLAN,40558.0,34327.0,33020.0,107905.0,12193471836.0,4314414645.0,4922150937.0,FULL_MATCH,3
470248710,"004,006,008,009,010","CONAGRA BRANDS, INC.","CONAGRA BRANDS, INC. PENSION PLAN",5024.0,32558.0,12366.0,49948.0,2559770055.0,214073234.0,1839494066.0,FULL_MATCH,5
340253240,"001,002,010,014",THE GOODYEAR TIRE & RUBBER COMPANY,THE GOODYEAR TIRE & RUBBER COMPANY 1950 PENSION PLAN,4317.0,31603.0,5754.0,41674.0,3429088909.0,478717651.0,2711920942.0,FULL_MATCH,4
131299890,001,"SHELL USA, INC.",SHELL PENSION PLAN,12638.0,31049.0,9552.0,53239.0,12897056563.0,2335030644.0,9249053363.0,FULL_MATCH,1
160417150,001,EASTMAN KODAK COMPANY,KODAK RETIREMENT INCOME PLAN,1968.0,29048.0,4015.0,35031.0,2274931597.0,196024972.0,1942846217.0,FULL_MATCH,1
131584302,"004,121","PEPSICO, INC.",PEPSICO EMPLOYEES RETIREMENT PLAN I,90362.0,28226.0,36979.0,155567.0,11177158174.0,4882324532.0,3612105735.0,FULL_MATCH,2
043583679,001,LIBERTY MUTUAL GROUP INC.,LIBERTY MUTUAL RETIREMENT BENEFIT PLAN,34910.0,27880.0,18754.0,81544.0,6714522595.0,1930211955.0,3647464180.0,FULL_MATCH,1
232229683,003,AETNA INC.,RETIREMENT PLAN FOR EMPLOYEES OF AETNA INC.,9682.0,27859.0,13362.0,50903.0,4271367136.0,528791237.0,2943372191.0,FULL_MATCH,1
940742640,001,PACIFIC GAS AND ELECTRIC COMPANY,PACIFIC GAS AND ELECTRIC COMPANY RETIREMENT PLAN,27500.0,27837.0,4408.0,59745.0,15802026390.0,4695264048.0,10239775693.0,FULL_MATCH,1
930432081,"046,070",GEORGIA-PACIFIC LLC,GEORGIA-PACIFIC LLC HOURLY PENSION PLAN,9851.0,27448.0,11367.0,48666.0,3761499370.0,912289362.0,2266485814.0,FULL_MATCH,2
131421730,"001,002",UNION CARBIDE CORPORATION C/O THE DOW CHEMICAL COMPANY,UNION CARBIDE EMPLOYEES' PENSION PLAN,1941.0,27320.0,5363.0,34624.0,2519828036.0,309598051.0,1886711693.0,FULL_MATCH,2
221024240,"001,003,005",JOHNSON AND JOHNSON,RETIREMENT PLAN OF JOHNSON AND JOHNSON,46860.0,26738.0,28783.0,102381.0,17914790679.0,6052840159.0,7929364705.0,FULL_MATCH,3
131675522,001,VERIZON CORPORATE SERVICES GROUP INC.,VERIZON MANAGEMENT PENSION PLAN,11147.0,26681.0,24216.0,62044.0,2971490023.0,769407066.0,1036990328.0,FULL_MATCH,1
410255900,"001,007",U.S. BANCORP,U.S. BANK LEGACY PENSION PLAN,64821.0,26546.0,29639.0,121006.0,6113845498.0,2556533043.0,2170966350.0,FULL_MATCH,2
630274273,001,"SOUTHERN COMPANY SERVICES, INC.",THE SOUTHERN COMPANY PENSION PLAN,25932.0,26387.0,5318.0,57637.0,11444065275.0,3900711548.0,6825351074.0,FULL_MATCH,1
560939887,001,TRUIST FINANCIAL CORPORATION,TRUIST FINANCIAL CORPORATION PENSION PLAN,38589.0,25949.0,31387.0,95925.0,6632346552.0,2142342180.0,2875624066.0,FULL_MATCH,1
061059331,001,CIGNA HOLDING COMPANY,CIGNA PENSION PLAN,12279.0,25838.0,14993.0,53110.0,3704035324.0,475166088.0,2531102927.0,FULL_MATCH,1
340451060,080,PARKER HANNIFIN CORPORATION,PARKER DEFINED BENEFIT PENSION PLAN,8120.0,25430.0,7062.0,40612.0,3622763348.0,724081967.0,2533685713.0,FULL_MATCH,1
410274440,"001,006","GENERAL MILLS, INC.",GENERAL MILLS PENSION PLAN I,6414.0,24960.0,7959.0,39333.0,5179577079.0,1071546703.0,3401802034.0,FULL_MATCH,2
941340523,001,"KAISER FOUNDATION HEALTH PLAN, INC.",KAISER PERMANENTE RETIREMENT PLAN,135057.0,24843.0,37849.0,197749.0,21085907036.0,13016810689.0,4543673976.0,FULL_MATCH,1
251435979,002,"THE PNC FINANCIAL SERVICES GROUP, INC.","THE PNC FINANCIAL SERVICES GROUP, INC. PENSION PLAN",57183.0,24344.0,37403.0,118930.0,4555980156.0,1812970662.0,1381256302.0,FULL_MATCH,1
940890210,"002,006,051,052,072",CHEVRON CORPORATION,CHEVRON RETIREMENT PLAN,21507.0,23854.0,16229.0,61590.0,7861523153.0,4302197565.0,2155609988.0,FULL_MATCH,5
